id,name,type,Recognizability,movie_count,best_known_for_acting
P-8261,Willie Nelson,Actor,10,1,False
P-30614,Ryan Gosling,Actor,10,1,True
P-47296,Jeffrey Dean Morgan,Actor,10,1,True
P-14406,Lisa Kudrow,Actor,10,1,True
P-13565,Steve McQueen,Actor,10,1,True
P-58225,Zach Galifianakis,Actor,10,1,True
P-54812,Chevy Chase,Actor,10,1,True
P-16377,Jerry Seinfeld,Actor,10,1,True
P-65717,Jon Hamm,Actor,10,1,True
P-15886,Julia Louis-Dreyfus,Actor,10,1,True
P-3359,Laurence Olivier,Actor,10,1,True
P-932967,Mahershala Ali,Actor,10,1,True
P-16897,Sidney Poitier,Actor,10,1,True
P-37917,Kristen Stewart,Actor,10,1,True
P-19394,Idina Menzel,Actor,10,1,True
P-38673,Channing Tatum,Actor,10,1,True
P-1532,Bill Murray,Actor,10,1,True
P-71580,Benedict Cumberbatch,Actor,10,1,True
P-1813,Anne Hathaway,Actor,10,1,True
P-33663,Donald Trump,Actor,10,1,False
P-18892,Goldie Hawn,Actor,10,1,True
P-1459,Tina Turner,Actor,10,1,False
P-16927,Gérard Depardieu,Actor,10,1,True
P-57108,Usher,Actor,10,1,False
P-12219,Jon Stewart,Actor,10,1,False
P-1922,Catherine Zeta-Jones,Actor,10,1,True
P-1920,Winona Ryder,Actor,10,1,True
P-1892,Matt Damon,Actor,10,1,True
P-1216701,"Meghan, Duchess of Sussex",Actor,10,1,False
P-31903,Henry Winkler,Actor,10,1,True
P-63522,Sofía Vergara,Actor,10,1,True
P-64,Gary Oldman,Actor,10,1,True
P-3895,Michael Caine,Actor,10,1,True
P-3894,Christian Bale,Actor,10,1,True
P-1749,Leonard Nimoy,Actor,10,1,True
P-1748,William Shatner,Actor,10,1,True
P-6352,Jane Fonda,Actor,10,1,True
P-112,Cate Blanchett,Actor,10,1,True
P-738,Sean Connery,Actor,10,1,True
P-1158,Al Pacino,Actor,10,1,True
P-1038,Jodie Foster,Actor,10,1,True
P-380,Robert De Niro,Actor,10,1,True
P-976,Jason Statham,Actor,10,1,True
P-934,Russell Crowe,Actor,10,1,True
P-10859,Ryan Reynolds,Actor,10,1,True
P-38225,Cher,Actor,10,1,True
P-54693,Emma Stone,Actor,10,1,True
P-955,Penélope Cruz,Actor,10,1,True
P-19292,Adam Sandler,Actor,10,1,True
P-18918,Dwayne Johnson,Actor,10,1,True
P-18897,Jackie Chan,Actor,10,1,True
P-4169,Dave Chappelle,Actor,10,1,True
P-15152,James Earl Jones,Actor,10,1,True
P-17838,Rami Malek,Actor,10,1,True
P-2632,Chris Rock,Actor,10,1,True
P-880,Ben Affleck,Actor,10,1,True
P-776,Eddie Murphy,Actor,10,1,True
P-1100,Arnold Schwarzenegger,Actor,10,1,True
P-1160,Michelle Pfeiffer,Actor,10,1,True
P-1327,Ian McKellen,Actor,10,1,True
P-26510,Eugene Levy,Actor,10,1,True
P-1283,Helena Bonham Carter,Actor,10,1,True
P-1269,Kevin Costner,Actor,10,1,True
P-1245,Scarlett Johansson,Actor,10,1,True
P-1231,Julianne Moore,Actor,10,1,True
P-1230,John Goodman,Actor,10,1,True
P-1204,Julia Roberts,Actor,10,1,True
P-1205,Richard Gere,Actor,10,1,True
P-35806,Shaquille O'Neal,Actor,10,1,False
P-55638,Kevin Hart,Actor,10,1,True
P-55536,Melissa McCarthy,Actor,10,1,True
P-4111,Ingrid Bergman,Actor,10,1,True
P-14405,Courteney Cox,Actor,10,1,True
P-29222,Zac Efron,Actor,10,1,True
P-67773,Steve Martin,Actor,10,1,True
P-73968,Henry Cavill,Actor,10,1,True
P-22970,Peter Dinklage,Actor,10,1,True
P-14407,Matt LeBlanc,Actor,10,1,True
P-1052109,Harry Styles,Actor,10,1,False
P-1356210,Millie Bobby Brown,Actor,10,1,True
P-1700685,Lewis Pullman,Actor,10,1,True
P-3490,Adrien Brody,Actor,10,1,True
P-10222,Roger Moore,Actor,10,1,True
P-2395,Whoopi Goldberg,Actor,10,1,True
P-3416,Demi Moore,Actor,10,1,True
P-31136,Chris Brown,Actor,10,1,False
P-86654,Austin Butler,Actor,10,1,True
P-119592,Aubrey Plaza,Actor,10,1,True
P-33684,Bono,Actor,10,1,False
P-212208,Taylor Swift,Actor,10,1,False
P-27319,Christoph Waltz,Actor,10,1,True
P-55466,James Corden,Actor,10,1,False
P-87773,Aishwarya Rai Bachchan,Actor,10,1,True
P-212225,Kim Kardashian,Actor,10,1,False
P-90633,Gal Gadot,Actor,10,1,True
P-76594,Miley Cyrus,Actor,10,1,False
P-3392,Michael Douglas,Actor,10,1,True
P-3293,Rachel Weisz,Actor,10,1,True
P-3291,Hugh Grant,Actor,10,1,True
P-3489,Naomi Watts,Actor,10,1,True
P-3896,Liam Neeson,Actor,10,1,True
P-3223,Robert Downey Jr.,Actor,10,1,True
P-3897,Katie Holmes,Actor,10,1,True
P-466505,Kumail Nanjiani,Actor,10,1,True
P-60950,David Spade,Actor,10,1,True
P-91609,Joe Rogan,Actor,10,1,False
P-67849,Mary-Kate Olsen,Actor,10,1,True
P-1253360,Pedro Pascal,Actor,10,1,True
P-118545,Dakota Johnson,Actor,10,1,True
P-53807,Armie Hammer,Actor,10,1,True
P-66776,Liza Minnelli,Actor,10,1,True
P-117642,Jason Momoa,Actor,10,1,True
P-71041,'Weird Al' Yankovic,Actor,10,1,False
P-12951,O. J. Simpson,Actor,10,1,False
P-53397,Christina Aguilera,Actor,10,1,False
P-77271,Pink,Actor,10,1,False
P-19961,Nina Dobrev,Actor,10,1,True
P-147445,Derek Jeter,Actor,10,1,False
P-77069,Lenny Kravitz,Actor,10,1,False
P-4173,Anthony Hopkins,Actor,10,1,True
P-2176,Tommy Lee Jones,Actor,10,1,True
P-57755,Woody Harrelson,Actor,10,1,True
P-72129,Jennifer Lawrence,Actor,10,1,True
P-2387,Patrick Stewart,Actor,10,1,True
P-56731,Jessica Alba,Actor,10,1,True
P-2282,Ben Kingsley,Actor,10,1,True
P-74568,Chris Hemsworth,Actor,10,1,True
P-60642,Tom Petty,Actor,10,1,False
P-60017,Faith Hill,Actor,10,1,False
P-18973,Mila Kunis,Actor,10,1,True
P-40462,Kristen Bell,Actor,10,1,True
P-81200,Conan O'Brien,Actor,10,1,False
P-58769,Stephen Colbert,Actor,10,1,False
P-5958,Hilary Duff,Actor,10,1,True
P-2232,Michael Keaton,Actor,10,1,True
P-2231,Samuel L. Jackson,Actor,10,1,True
P-2228,Sean Penn,Actor,10,1,True
P-2227,Nicole Kidman,Actor,10,1,True
P-2157,Robin Williams,Actor,10,1,True
P-85,Johnny Depp,Actor,10,1,True
P-31,Tom Hanks,Actor,10,1,True
P-237405,Lady Gaga,Actor,10,1,False
P-2461,Mel Gibson,Actor,10,1,True
P-3092,Diane Keaton,Actor,10,1,True
P-2524,Tom Hardy,Actor,10,1,True
P-3036,John Cusack,Actor,10,1,True
P-3037,Richard Dreyfuss,Actor,10,1,True
P-2628,Kiefer Sutherland,Actor,10,1,True
P-19492,Viola Davis,Actor,10,1,True
P-31309,Hugh Hefner,Actor,10,1,False
P-77948,Selena Gomez,Actor,10,1,False
P-14837,Carol Burnett,Actor,10,1,False
P-54421,Janet Jackson,Actor,10,1,False
P-3125,Madonna,Actor,10,1,False
P-52139,Seth MacFarlane,Actor,10,1,True
P-2713,Linda Hamilton,Actor,10,1,True
P-5049,John Hurt,Actor,10,1,True
P-10959,Shia LaBeouf,Actor,10,1,True
P-66586,Mariah Carey,Actor,10,1,False
P-56323,Tina Fey,Actor,10,1,True
P-11370,Elton John,Actor,10,1,False
P-119454,Mars,Actor,10,1,False
P-224235,DJ Khaled,Actor,10,1,False
P-291263,Jordan Peele,Actor,10,1,True
P-1959397,Dua Lipa,Actor,10,1,False
P-119589,Donald Glover,Actor,10,1,True
P-217371,Adam Levine,Actor,10,1,False
P-1136517,Sia,Actor,10,1,False
P-968660,Nicki Minaj,Actor,10,1,False
P-969218,Bruno Mars,Actor,10,1,False
P-10583,Gisele Bündchen,Actor,10,1,False
P-5081,Emily Blunt,Actor,10,1,True
P-5064,Meryl Streep,Actor,10,1,True
P-10205,Sigourney Weaver,Actor,10,1,True
P-4937,Vince Vaughn,Actor,10,1,True
P-4785,Jeff Goldblum,Actor,10,1,True
P-4784,Laura Dern,Actor,10,1,True
P-10215,Paul McCartney,Actor,10,1,False
P-1190668,Timothée Chalamet,Actor,10,1,True
P-77234,Priyanka Chopra Jonas,Actor,10,1,True
P-236695,John Boyega,Actor,10,1,True
P-1315036,Daisy Ridley,Actor,10,1,True
P-85138,Demi Lovato,Actor,10,1,False
P-59538,David Beckham,Actor,10,1,False
P-85930,John Mayer,Actor,10,1,False
P-527393,Dylan O'Brien,Actor,10,1,True
P-56446,John Cena,Actor,10,1,True
P-1493224,Ruth Bader Ginsburg,Actor,10,1,False
P-69597,Drew Barrymore,Actor,10,1,True
P-5530,James McAvoy,Actor,10,1,True
P-5472,Colin Firth,Actor,10,1,True
P-5469,Ralph Fiennes,Actor,10,1,True
P-226001,Ariana Grande,Actor,10,1,False
P-1821863,Post Malone,Actor,10,1,False
P-505710,Zendaya,Actor,10,1,True
P-113461,John Legend,Actor,10,1,False
P-5374,Jim Parsons,Actor,10,1,True
P-5309,Judi Dench,Actor,10,1,True
P-1137,Juliette Binoche,Actor,10,1,True
P-5292,Denzel Washington,Actor,10,1,True
P-4483,Dustin Hoffman,Actor,10,1,True
P-2963,Nicolas Cage,Actor,10,1,True
P-107379,LeBron James,Actor,10,1,False
P-446511,Shakira,Actor,10,1,False
P-543261,Karen Gillan,Actor,10,1,True
P-1009740,Pitbull,Actor,10,1,False
P-88124,Jesse Plemons,Actor,10,1,True
P-239019,Kit Harington,Actor,10,1,True
P-3203609,Elmo,Actor,10,1,False
P-53862,Kaley Cuoco,Actor,10,1,True
P-6194,Claire Danes,Actor,10,1,True
P-1619,Chow Yun-Fat,Actor,10,1,True
P-3967,Kate Beckinsale,Actor,10,1,True
P-3910,Frances McDormand,Actor,10,1,True
P-216294,Lewis Hamilton,Actor,10,1,False
P-53975,Deepika Padukone,Actor,10,1,True
P-31133,Ne-Yo,Actor,10,1,False
P-131519,Rihanna,Actor,10,1,False
P-130640,Hailee Steinfeld,Actor,10,1,False
P-96091,Carrie Underwood,Actor,10,1,False
P-1240487,Kate McKinnon,Actor,10,1,True
P-111455,Katy Perry,Actor,10,1,False
P-88029,Alison Brie,Actor,10,1,True
P-108661,Chester Bennington,Actor,10,1,False
P-17380,Jay Chou,Actor,10,1,True
P-197315,Drake,Actor,10,1,False
P-974169,Jenna Ortega,Actor,10,1,True
P-172069,Chadwick Boseman,Actor,10,1,True
P-1179651,Lin-Manuel Miranda,Actor,10,1,True
P-234352,Margot Robbie,Actor,10,1,True
P-998387,Ed Sheeran,Actor,10,1,False
P-1223786,Emilia Clarke,Actor,10,1,True
P-1136406,Tom Holland,Actor,10,1,True
P-4724,Kevin Bacon,Actor,10,1,True
P-4690,Christopher Walken,Actor,10,1,True
P-4587,Halle Berry,Actor,10,1,True
P-4495,Steve Carell,Actor,10,1,True
P-4491,Jennifer Aniston,Actor,10,1,True
P-3063,Tilda Swinton,Actor,10,1,True
P-4431,Jessica Lange,Actor,10,1,True
P-4430,Sharon Stone,Actor,10,1,True
P-135651,Michael B. Jordan,Actor,10,1,True
P-1267329,Lupita Nyong'o,Actor,10,1,True
P-550843,Elizabeth Olsen,Actor,10,1,True
P-20472,Norah Jones,Actor,10,1,False
P-151657,Regis Philbin,Actor,10,1,False
P-19429,Bruce Lee,Actor,10,1,True
