person_id,name,popularity,Recognizability,best_known_for_acting
1936679,Jeffrey L. Ward,0.0214,1,True
53820,Michael C. Hall,3.348,9,True
63547,Claudette Mink,0.4052,1,True
54246,Peter Friedman,0.2332,2,True
172822,Christopher Kennedy,0.0835,1,True
59240,Michelle Harrison,0.6389,1,True
1215524,Paula Deen,0.0844,3,True
99043,Dan Biggers,0.1548,1,True
11672,Alice Marie Crowe,0.1323,1,True
1086871,Tim Devitt,0.0256,1,True
21848,Regina Taylor,0.3804,2,True
156532,Bruce Beatty,0.1503,1,True
58271,Neil Fanning,0.2351,1,True
74354,Miguel A. Núñez Jr.,0.9211,2,True
53591,Steven Grives,0.3176,1,True
2632078,Charles Stan Frazier,0.0526,1,True
2213667,Craig Bullock,0.2515,1,True
2213677,Matthew Murphy Karges,0.0453,1,True
35753,Mark McGrath,0.4149,3,True
2213682,Rodney Sheppard,0.0484,1,True
2213669,Sam Greco,0.129,1,True
1325996,Charlie Cousins,0.2067,1,True
1262385,David Vallon,1.4732,1,True
11824,Tom Welling,1.7149,8,True
5958,Hilary Duff,1.4531,10,True
58965,Alyson Stoner,0.9907,7,True
76996,Jonathan Bennett,0.7092,6,True
9829,Jacob Smith,0.3231,6,True
148615,Morgan York,0.344,5,True
6365,Desmond Harrington,3.0271,6,True
70456,Emily Browning,1.8475,7,True
1004151,Francesca Rettondini,0.3335,1,True
217030,Bob Ruggiero,0.055,1,True
1262387,Jamie Giddens,0.0453,1,True
75655,Alex Dimitriades,0.3863,2,True
152421,Boris Brkic,0.1411,1,True
1322698,Iain Gardiner,0.1071,1,True
3824173,Adam Bieshaar,0.0379,1,True
95024,Bobcat Goldthwait,0.7574,6,True
57116,David Johansen,0.3186,4,True
1445671,Nicholas Phillips,0.153,1,True
52031,Mabel King,0.4204,2,True
66107,John Murray,1.1825,1,True
55432,Jamie Farr,0.5688,7,True
67393,Buddy Hackett,0.3983,6,True
18589,Lee Majors,1.2833,8,True
135842,Alvin Hammer,2.026,1,True
61980,Wendie Malick,1.5634,6,True
3802971,Lynne Randall,1.0083,1,True
237370,Boris Lee Krutonog,0.1764,1,True
237371,Gawtti,0.2383,1,True
2282795,Kobra Devoux,0.0143,1,True
76094,Oscar Nuñez,0.6768,6,True
58347,Fausto Callegarini,0.0777,1,True
58348,Stefano Petronelli,0.042,1,True
38561,Kelly Brook,1.3616,7,True
51975,Laura Ramsey,1.0345,5,True
58369,Alexandra Breckenridge,2.1256,7,True
58371,Brandon Jay McLaren,0.8428,5,True
58372,Clifton MaCabe Murray,0.0988,1,True
58373,James Snyder,0.1817,1,True
58401,Joanne Samuel,0.4015,1,True
26060,Hugh Keays-Byrne,0.3461,6,True
45211,Steve Bisley,0.2251,5,True
1125220,Tim Burns,0.7015,1,True
94809,Roger Ward,1.3954,1,True
141381,Vincent Gil,0.1641,1,True
413762,Lulu Pinkus,0.1562,1,True
1125222,Lisa Aldenhoven,0.1534,1,True
1125223,David Bracks,0.1763,1,True
1125224,Bertrand Cadart,1.1554,1,True
172747,David Cameron,0.1143,1,True
1125225,Robina Chaffey,0.0725,1,True
252659,Stephen Clark,0.0614,1,True
1466390,Mathew Constantine,0.0214,1,True
58426,Jihmi Kennedy,0.3056,1,True
58141,Donovan Leitch,0.1899,1,True
1184011,JD Cullum,0.2409,1,True
1340960,Christian Baskous,0.0647,1,True
84209,RonReaco Lee,0.4139,2,True
557314,Michael Wayne Thomas,1.6109,1,True
289370,Angel Coulby,0.428,5,True
74056,Brendan Coyle,0.5861,6,True
54722,Laura Marano,0.7548,7,True
176227,Richard Dillane,0.4303,5,True
1231512,Jonah Lotan,0.2751,4,True
29697,Nigel Whitmey,0.4072,2,True
101034,Kerry Shale,1.2479,3,True
14103,Mark Blum,0.2675,4,True
1230287,Terry Gill,0.1703,1,True
3256404,Peter Turnbull,0.0404,1,True
2536857,Khristina Totos,0.0563,1,True
1223003,Missy Doty,0.0785,1,True
109740,Alysia Reiner,0.8614,2,True
177131,Shaun Duke,0.2744,1,True
83781,Robert Covarrubias,0.1233,1,True
12545,Joe Marinelli,0.1409,1,True
2998161,Chris Burroughs,0.0362,1,True
18658,Mia Kirshner,1.51,7,True
58473,James Otis,0.1908,1,True
58474,Anthony Russell,0.1311,1,True
54126,Rachel Miner,0.8825,5,True
62932,Jemima Rooper,1.1085,5,True
58556,Anatoli Davydov,0.4692,2,True
47757,Kelly Rowan,0.5981,6,True
58557,Kerry Skalsky,0.1675,1,True
58558,James Douglas Haskins,0.0143,1,True
58559,Stephen Liska,0.1712,1,True
58561,Edward J. Rosen,0.1232,1,True
58562,Christina Orchid,0.0261,1,True
2568159,Bruce R. Orchid,0.0261,1,True
1611202,Choco Orta,1.1974,1,True
58488,"David ""Shark"" Fralick",1.1889,1,True
64986,Clare-Hope Ashitey,0.4501,2,True
81134,Oana Pellea,0.1412,1,True
58587,Phaldut Sharma,0.3547,1,True
58575,Juan Gabriel Yacuzzi,0.0379,1,True
58576,Mishal Husain,0.133,1,True
58577,Rob Curling,0.1002,1,True
58586,Maria McErlane,0.1688,1,True
1216608,Barnaby Edwards,1.3006,3,True
58619,Cindy Cheung,0.1974,1,True
17302,Noah Gray-Cabey,0.3755,5,True
58620,Joseph D. Reitman,0.4411,1,True
7463,Grant Monohon,0.0598,1,True
58621,John Boyd,0.6673,1,True
63280,Ethan Cohn,0.1617,1,True
177918,Camryn Grimes,0.6223,5,True
172355,Angelo Pagán,0.1044,1,True
944478,Chic Daniel,0.5412,1,True
76001,Tim DeKay,0.7346,6,True
1115919,Laura Lane,0.485,1,True
27125,Molly Parker,2.4173,7,True
102710,Michael Wiseman,0.2728,1,True
2972732,Zemphira Gosling,0.0143,1,True
27122,Matthew Walker,0.154,1,True
189719,Christine Willes,0.2762,2,True
1510198,Sophie Hough,0.4753,1,True
15789,Alex D. Linz,0.7711,6,True
15799,Lenny Von Dohlen,0.3755,3,True
114021,Kevin Kilner,0.3871,2,True
90519,Christopher Curry,0.2565,1,True
170921,Baxter Harris,0.212,1,True
1506200,Kevin Gudahl,0.2177,1,True
2021234,Freeman Coffey,0.0883,1,True
58737,Jack McBrayer,0.7382,8,True
1910988,Houston Tumlin,0.0482,1,True
111921,Grayson Russell,0.3798,2,True
58768,Jim Turner,0.2716,1,True
58769,Stephen Colbert,0.3625,10,False
58770,Carole Shelley,0.1125,2,True
58772,James Lipton,0.1456,3,True
81200,Conan O'Brien,0.4999,10,False
1782117,Molly Gordon,1.9411,5,True
58710,Amy Steel,0.5462,4,True
105625,Warrington Gillette,0.2983,1,True
55571,John Furey,0.1278,1,True
83336,Steve Dash,0.1224,1,True
58711,Kirsten Baker,0.2191,1,True
92758,Marta Kober,0.3575,1,True
102436,Russell Todd,0.1448,1,True
1048670,Lauren-Marie Taylor,0.1794,1,True
1036511,Tom McBride,0.3829,1,True
2040748,Jack Marks,0.0286,1,True
1234924,Bill Randolph,0.0522,1,True
59031,Didier Bourdon,0.31,5,True
59032,Isabelle Candelier,0.1521,4,True
58787,Giannina Facio,0.7952,3,True
58783,Ben Righton,0.0891,1,True
58807,Richard Brooker,0.1577,1,True
58799,Dana Kimmell,0.3341,1,True
1225471,Tracie Savage,0.2334,1,True
1782844,David Wiley,0.1208,1,True
82176,Rachel Howard,0.2493,1,True
58808,Anne Gaybis,0.1962,1,True
558477,Larry Zerner,0.6431,2,True
58802,Paul Kratka,0.1,1,True
106249,Jeffrey Rogers,0.5096,1,True
1682653,David Katims,0.0505,1,True
1219431,Kevin O'Brien,0.0264,1,True
995980,Nick Savage,0.1171,1,True
1236245,Cheri Maugans,0.1045,1,True
72541,Judie Aronson,0.2747,2,True
2174,Kimberly Beck,0.4391,5,True
21458,Joan Freeman,0.6163,4,True
58814,Barbara Howard,0.2077,1,True
58813,Erich Anderson,0.3081,2,True
59442,Peter Barton,0.3053,3,True
106752,Lawrence Monoson,0.5298,2,True
22050,Camilla More,0.1942,3,True
563576,Carey More,0.2201,2,True
102570,Bonnie Hellman,0.2609,2,True
97708,Lisa Freeman,0.2851,2,True
208720,Frankie Hill,0.1231,1,True
103967,Tiffany Helm,0.2246,2,True
162927,John Shepherd,0.531,2,True
98583,Juliette Cummins,0.2832,2,True
197057,Melanie Kinnaman,0.1697,1,True
1520288,Deborah Voorhees,0.4955,2,True
179625,Mark Venturini,1.055,2,True
1212555,Shavar Ross,0.1167,1,True
105200,Rebecca Wood,0.7122,3,True
2136650,Ron Sloan,0.201,1,True
58819,Anthony Barrile,0.191,2,True
176352,Caskey Swaim,0.0479,1,True
56691,Saverio Guerra,0.4341,3,True
9313,Lisa Boyle,0.6674,3,True
87360,Michael Taliferro,0.1795,2,True
137416,Emmanuel Xuereb,0.4472,2,True
77079,Cory Hodges,1.081,2,True
147788,Fawn Reed,1.1066,2,True
184581,Hamish Linklater,0.7485,4,True
77036,David Parker,0.122,1,True
74353,Maria Menounos,0.5437,5,True
583061,Michael Kopsa,0.4008,2,True
64917,Pascale Hutton,0.2984,3,True
119811,G. Michael Gray,0.1084,1,True
46906,David Richmond-Peck,0.1437,1,True
10814,Wesley Snipes,1.9255,9,True
15788,Nigel Hawthorne,0.4554,6,True
6326,Pat Skipper,0.186,3,True
1640613,Paul Bollen,0.0362,1,True
1464789,Mark Colson,0.0679,1,True
109470,Andre Gregory,0.0888,3,True
3809,Francesca Neri,0.5643,4,True
91756,Hazelle Goodman,0.4207,3,True
953778,James Opher,0.07,1,True
35106,Fabrizio Gifuni,0.4098,3,True
1187541,Alex Corrado,0.1145,1,True
101610,Kelly Piper,1.5437,3,True
33689,Charlayne Woodard,0.3784,4,True
1882245,Johnny Hiram Jamison,0.0637,1,True
1882246,Michaelia Carroll,0.1012,1,True
102996,Bostin Christopher,0.8884,2,True
1882248,Davis Duffield,0.3725,1,True
73836,Laura Regan,0.2999,4,True
17194,Chance Kelly,0.348,4,True
149484,Will Rothhaar,0.5745,3,True
66741,Taylor Handley,0.7019,3,True
1215262,Jay Johnston,0.149,1,True
93846,Googy Gress,0.3883,3,True
170759,Wayne Federman,0.1247,3,True
58925,Lester Speight,0.2214,3,True
58926,Katt Williams,0.6504,5,True
58929,Jeanette Miller,0.1781,2,True
58930,Alexis Rhee,0.3475,2,True
109869,Kristen Schaal,1.0688,6,True
43232,Valerie Cruz,0.724,4,True
29020,Eric Christian Olsen,0.4923,5,True
58942,Will Beinbrink,0.2008,2,True
58950,Greg Collins,0.2613,3,True
1223973,Erin Foster,0.3312,2,True
58941,Brenda Ballard,0.0777,1,True
58947,Paige Cannon,0.0071,1,True
58952,Adam Campbell,0.3791,2,True
58955,Kevin McDonald,0.3717,4,True
58956,George Alvarez,0.0668,1,True
62847,Dana Seltzer,0.0533,2,True
54593,Tad Hilgenbrink,1.1317,3,True
2754238,David Whatley-Zepeda,1.0636,1,True
1283083,Michelle Lang,1.1858,2,True
58959,Damaine Radcliff,0.2052,2,True
58966,Deirdre Lovejoy,0.8114,4,True
58962,Drew Sidora,0.2344,3,True
58963,Josh Henderson,0.3658,4,True
1194209,Ryan Sands,0.3389,2,True
1752125,Frank Herzog,0.0617,1,True
58960,De'Shawn Washington,0.0641,1,True
58964,Tim Lacatena,0.0544,1,True
58967,Jane Beard,0.0495,1,True
58982,Kuno Becker,0.387,4,True
176,Kieran O'Brien,0.6032,2,True
58984,Kate Tomlinson,0.0193,1,True
58985,Zachary Johnson,0.0256,1,True
47644,Frances Barber,0.7652,4,True
58986,Kevin Knapman,0.0926,1,True
59011,Jade Yorker,0.3652,2,True
59012,David V. Thomas,0.702,2,True
59013,Setu Taase,0.3177,1,True
59014,Mo McRae,0.5264,3,True
59015,James Earl,0.1309,2,True
59016,Trever O'Brien,0.5151,2,True
427978,Brandon Mychal Smith,0.8312,3,True
203512,Danny Martinez,0.5778,2,True
38583,Ivan Sergei,0.5249,4,True
59024,Vernon Vaughn,0.1429,2,True
59025,Elaine Robinson,0.0239,2,True
84093,Liesel Matthews,0.457,4,True
65740,Donna Bullock,0.4433,1,True
155841,Michael Ray Miller,0.1454,1,True
157140,Carl Weintraub,0.1206,1,True
1080064,Elester Latham,0.9986,1,True
2368,Ilya Baskin,0.7777,3,True
59165,Lilli Lavine,0.1469,1,True
59166,"Michael Guarino, Jr.",0.0916,1,True
59167,Abdul Alshawish,0.0214,1,True
59170,Stephen Bruce,0.0256,1,True
36816,David Sparrow,0.5763,2,True
59171,Gary Gerbrandt,0.0534,1,True
59168,Ann Talman,0.1914,1,True
59169,Crystal Bock,0.1295,1,True
59172,Kate Blumberg,0.2337,3,True
59174,America Ferrera,0.671,8,True
59175,Blake Lively,2.8936,9,True
18331,Nancy Travis,0.9508,6,True
59176,Jenna Boyd,0.4487,4,True
59178,Maria Konstadarou,0.1735,1,True
59179,George Touliatos,0.3486,1,True
59180,Erica Hubbard,0.5412,3,True
59256,Adam Herschman,0.2053,1,True
31132,Columbus Short,0.243,5,True
59258,Lewis Black,0.4646,7,True
1219597,Jim O'Heir,0.3812,4,True
59259,Mark Derwin,0.2665,3,True
59260,Ann Cusack,0.9148,6,True
59261,Hannah Marks,0.6681,1,True
59262,Robin Lord Taylor,0.982,4,True
203200,Lisa Gleave,0.1092,1,True
77796,Sam Horrigan,2.1226,1,True
28660,Emilie de Ravin,0.9848,7,True
59283,Dan Byrd,2.0823,4,True
59284,Desmond Askew,0.2081,3,True
59285,Ezra Buzzington,0.2347,3,True
59286,Laura Ortiz,0.2197,1,True
59288,Maisie Camilleri Preziosi,0.0662,1,True
101416,Michael McMillian,0.2997,3,True
55463,Jessica Stroup,0.6727,4,True
59295,Lee Thompson Young,0.3578,4,True
59296,Daniella Alonso,0.8312,3,True
59293,Archie Kao,0.3048,4,True
59297,Eric Edelstein,0.4835,4,True
59298,Joseph Beddelem,0.3617,1,True
59299,Ben Crowley,0.1025,1,True
127909,Reshad Strik,0.3997,3,True
565498,Laura Cayouette,0.2976,3,True
205164,Lennox Brown,1.0861,1,True
1115118,Tom Quinn,1.1769,1,True
10883,Rick Yune,0.7466,4,True
12796,Johnny Strong,0.5058,4,True
1479424,Stanton Rutledge,0.1935,1,True
1479425,R.J. de Vera,0.0453,1,True
1005339,Beau Holden,0.3236,1,True
552527,Robert W. Castle,0.0464,1,True
91428,Daniel Chapman,0.7566,1,True
1176208,David Drake,0.1355,1,True
174982,Neil Pearson,0.6523,3,True
19331,Donald Douglas,0.1016,1,True
1317410,Shirley Dixon,0.3966,1,True
1117371,Dominic McHale,0.044,1,True
87097,Neil Dudgeon,1.023,3,True
169586,Vanessa Marcil,1.2009,6,True
1235953,Jim Maniaci,0.2627,1,True
166893,Brendan Kelly,0.3934,1,True
49832,R. D. Call,0.2178,3,True
59350,Chaim Jeraffi,0.3232,1,True
85500,Sab Shimono,0.3276,3,True
59352,Zitto Kazann,0.0879,1,True
41741,Rita Zohar,0.1151,1,True
59361,Sarah Vowell,0.1751,3,True
59360,Spencer Fox,0.435,1,True
59358,Eli Fucile,1.0208,1,True
59359,Maeve Andrews,0.1339,1,True
155917,Jean Sincere,0.1507,1,True
1075147,Wayne Canney,0.0461,1,True
59568,Fredro Starr,0.2372,3,True
36068,Bianca Lawson,0.482,4,True
59569,Vince Green,0.3426,1,True
59570,Garland Whitt,0.267,3,True
59571,Elisabeth Oas,0.1976,1,True
59572,Artel Great,0.0585,1,True
59573,Cory Stewart,0.0143,1,True
59574,Jennifer Anglin,0.087,1,True
59575,Dorothy Martin,0.0168,1,True
59576,Kim Tlusty,0.0261,1,True
59577,Felicia Fields,0.0404,1,True
59578,Ora Jones,0.0898,1,True
55422,Elaine Hendrix,0.8978,4,True
145345,Maggie Wheeler,0.6992,7,True
94837,Ronnie Stevens,0.2647,1,True
1242306,Erin Mackey,0.1807,4,True
14506,Joanna Barnes,0.2435,4,True
1714926,Hallie Meyers-Shyer,0.174,1,True
2057586,Maggie Emma Thomas,0.1183,1,True
3708725,Courtney Woods,0.0214,1,True
159962,Kat Graham,0.8779,6,True
1254112,Michael Lohan Jr.,0.1997,1,True
59642,Sandra Hess,0.3288,2,True
59643,Lynn 'Red' Williams,0.2449,2,True
69532,Irina Pantaeva,0.1448,1,True
31368,Deron McBee,0.2945,2,True
1645507,Tyrone C. Wiggins,0.3922,2,True
227199,Chris Conrad,0.3345,2,True
1277922,Ridley Tsui Bo-Wah,0.4322,2,True
71727,Betty White,0.5461,9,True
4095,David James Lewis,0.3906,2,True
87740,Tim Dixon,0.6832,3,True
21430,Natassia Malthe,0.5116,2,True
18706,Meredith Salenger,0.6467,3,True
21110,Richard Leacock,0.2525,2,True
140257,Jake T. Roberts,0.0598,1,True
140258,Warren Takeuchi,0.1299,1,True
42711,Ty Olsson,0.769,3,True
2307357,J.J. Johnson,0.0362,1,True
59685,Gary Commock,0.0797,1,True
47538,Polly Adams,0.2043,2,True
59686,Opal Alladin,0.1626,1,True
59687,Starla Benford,0.0969,1,True
59688,Trish Gates,0.1736,2,True
59689,Nancy McDoniel,0.0533,1,True
59691,Richard Bekins,0.1527,1,True
59692,Ray Charleson,0.1322,1,True
59693,Liza Colón-Zayas,0.3742,2,True
59694,Lorna Dallas,0.0357,1,True
59696,Trieste Kelly Dunn,1.0381,4,True
106049,Jennifer Ellison,0.215,2,True
1340418,Imogen Bain,0.2033,2,True
2769498,Miles Western,0.0256,1,True
203505,Judith Paris,0.1456,1,True
2769499,Halcro Johnston,0.0311,1,True
57829,Anthony LaPaglia,0.9333,7,True
59784,Carlos Alazraqui,0.4339,6,True
4992,Lombardo Boyar,0.2302,2,True
59782,Jeffrey Garcia,0.1553,1,True
59783,Johnny A. Sanchez,0.1069,1,True
59785,Fat Joe,0.2325,7,True
1080300,Bobby Motown,0.0286,1,True
217524,Eden Riegel,0.3197,2,True
1008866,Ofra Haza,0.193,5,True
51547,James Avery,0.3909,8,True
1303010,Aria Noelle Curzon,0.0813,1,True
56490,Stephanie Sawyer,0.2737,2,True
6416,Polly Walker,1.6674,7,True
67028,Hugh Fraser,0.6618,3,True
56951,Berlinda Tolbert,0.3212,2,True
1123460,Tom Watt,1.0597,4,True
40462,Kristen Bell,1.7555,10,True
18973,Mila Kunis,3.0398,10,True
448309,Liz Cackowski,0.3956,2,True
221945,Da'Vone McDonald,0.154,1,True
160546,Steve Landesberg,0.1531,6,True
108391,Kalani Robb,0.1897,2,True
1118712,Ross St. Phillip,0.0143,1,True
1118713,John Hauk,0.0963,1,True
154335,Nick Angotti,0.0553,1,True
59956,Estelle Getty,0.3028,8,True
73586,John Wesley,0.3465,2,True
33833,Al Fann,0.2646,2,True
58681,Ella Joyce,0.1619,1,True
83362,Dennis Burkley,0.2463,2,True
1771200,Jana Arnold,0.0888,1,True
1214614,Christopher Collins,0.2497,2,True
2577584,Mark Mikesell,0.0168,1,True
1591894,Gord Martineau,0.0286,1,True
106711,Vince Corazza,0.1283,1,True
196707,Stephanie Mills,0.1519,1,True
60796,Jerry Grayson,0.1013,1,True
44033,Barbara Alyn Woods,0.5111,3,True
106714,Kimberly Flynn,0.1053,1,True
66877,Rena Riffel,0.3079,2,True
