id,name,type,popularity,department
P-8212,Peter Gallagher,Actor,1.2648,Acting
P-2955,Chris Cooper,Actor,1.3746,Acting
P-2154,Scott Bakula,Actor,1.2665,Acting
P-8213,Sam Robards,Actor,0.3378,Acting
P-8214,Barry Del Sherman,Actor,0.1683,Acting
P-64189,Ara Celi,Actor,0.4198,Acting
P-68842,John Cho,Actor,1.1048,Acting
P-45399,Hal Fort Atkinson,Actor,0.0491,Acting
P-166961,Sue Casey,Actor,0.1325,Acting
P-9634,Kent Faulcon,Actor,0.1899,Acting
P-85,Johnny Depp,Actor,4.0845,Acting
P-114,Orlando Bloom,Actor,1.6009,Acting
P-116,Keira Knightley,Actor,2.9632,Acting
P-1709,Jack Davenport,Actor,1.1322,Acting
P-378,Jonathan Pryce,Actor,4.7145,Acting
P-1710,Lee Arenberg,Actor,0.4248,Acting
P-1711,Mackenzie Crook,Actor,1.0185,Acting
P-1712,Damian O'Hare,Actor,0.3187,Acting
P-1713,Giles New,Actor,0.1773,Acting
P-1714,Angus Barnett,Actor,0.2245,Acting
P-1715,David Bailie,Actor,1.1173,Acting
P-1716,Michael Berry Jr.,Actor,1.2903,Acting
P-1717,"Isaac C. Singleton, Jr.",Actor,0.2199,Acting
P-2449,Kevin McNally,Actor,1.0353,Acting
P-12802,Treva Etienne,Actor,0.2178,Acting
P-8691,Zoe Saldaña,Actor,3.2987,Acting
P-139,Uma Thurman,Actor,4.1464,Acting
P-140,Lucy Liu,Actor,2.9765,Acting
P-2535,Vivica A. Fox,Actor,1.0715,Acting
P-589,Daryl Hannah,Actor,1.9812,Acting
P-141,David Carradine,Actor,1.606,Acting
P-147,Michael Madsen,Actor,1.8075,Acting
P-2539,Julie Dreyfus,Actor,0.8166,Acting
P-2538,Chiaki Kuriyama,Actor,1.275,Acting
P-2537,Sonny Chiba,Actor,0.6184,Acting
P-240171,Gordon Liu Chia-Hui,Actor,1.2069,Acting
P-2536,Michael Parks,Actor,0.7087,Acting
P-2234,Michael Bowen,Actor,0.872,Acting
P-2541,Jun Kunimura,Actor,0.6104,Acting
P-138435,Kenji Ohba,Actor,0.5896,Acting
P-545394,Yuki Kazamatsuri,Actor,1.7961,Acting
P-87312,James Parks,Actor,0.2994,Acting
P-131,Jake Gyllenhaal,Actor,3.1871,Acting
P-134,Jamie Foxx,Actor,1.9746,Acting
P-133,Peter Sarsgaard,Actor,1.3856,Acting
P-132,Scott MacDonald,Actor,0.3936,Acting
P-10964,Laz Alonso,Actor,0.6302,Acting
P-155,Lucas Black,Actor,1.7025,Acting
P-49271,Brian Geraghty,Actor,0.6309,Acting
P-150194,Damion Poitier,Actor,0.3684,Acting
P-107939,Jocko Sims,Actor,0.4431,Acting
P-352,Dennis Haysbert,Actor,0.9119,Acting
P-17697,John Krasinski,Actor,2.0756,Acting
P-95698,Kevin Foster,Actor,0.1836,Acting
P-1172840,Craig Coyne,Actor,0.0712,Acting
P-557545,Katherine Randolph,Actor,0.1071,Acting
P-8349,Martin Sheen,Actor,1.3448,Acting
P-3084,Marlon Brando,Actor,1.1007,Acting
P-8351,Frederic Forrest,Actor,0.3544,Acting
P-8354,Albert Hall,Actor,0.4243,Acting
P-2975,Laurence Fishburne,Actor,2.1154,Acting
P-8350,Sam Bottoms,Actor,0.4125,Acting
P-3087,Robert Duvall,Actor,1.6155,Acting
P-3173,G. D. Spradlin,Actor,0.4041,Acting
P-349,Scott Glenn,Actor,1.5922,Acting
P-1739,James Keane,Actor,0.1491,Acting
P-80874,Tom Mason,Actor,0.2263,Acting
P-550106,Cynthia Wood,Actor,1.2535,Acting
P-2778,Dennis Hopper,Actor,1.1542,Acting
P-13023,Colleen Camp,Actor,1.8344,Acting
P-103853,Marc Coppola,Actor,1.3878,Acting
P-190,Clint Eastwood,Actor,4.2796,Acting
P-193,Gene Hackman,Actor,1.7176,Acting
P-192,Morgan Freeman,Actor,6.3098,Acting
P-3710,Jaimz Woolvett,Actor,0.3156,Acting
P-194,Richard Harris,Actor,1.9583,Acting
P-3712,Saul Rubinek,Actor,0.665,Acting
P-3713,Frances Fisher,Actor,2.3703,Acting
P-3711,Anna Thomson,Actor,0.5373,Acting
P-3714,David Mucci,Actor,0.7272,Acting
P-2843,Rob Campbell,Actor,0.2892,Acting
P-3715,Anthony James,Actor,0.501,Acting
P-188960,Tara Frederick,Actor,0.6042,Acting
P-1055157,Beverley Elliott,Actor,0.2193,Acting
P-5481,Liisa Repo-Martell,Actor,0.3035,Acting
P-130935,Shane Meier,Actor,0.415,Acting
P-1748793,Aline Levasseur,Actor,0.0505,Acting
P-95638,John Pyper-Ferguson,Actor,1.032,Acting
P-58058,Lochlyn Munro,Actor,2.139,Acting
P-60433,Ben Cardinal,Actor,2.4366,Acting
P-198,Dan Castellaneta,Actor,0.9684,Acting
P-199,Julie Kavner,Actor,0.861,Acting
P-200,Nancy Cartwright,Actor,0.7044,Acting
P-5586,Yeardley Smith,Actor,0.6665,Acting
P-5587,Hank Azaria,Actor,1.1785,Acting
P-6008,Harry Shearer,Actor,0.6387,Acting
P-6009,Pamela Hayden,Actor,0.1769,Acting
P-34983,Tress MacNeille,Actor,0.6473,Acting
P-156910,Karl Wiedergott,Actor,0.3444,Acting
P-6036,Marcia Wallace,Actor,0.2295,Acting
P-6035,Russi Taylor,Actor,0.2885,Acting
P-6007,Maggie Roswell,Actor,0.121,Acting
P-95866,Billie Joe Armstrong,Actor,0.2354,Acting
P-95867,Mike Dirnt,Actor,0.1466,Acting
P-3266,Joe Mantegna,Actor,1.18,Acting
P-206,Jim Carrey,Actor,3.423,Acting
P-204,Kate Winslet,Actor,3.2641,Acting
P-205,Kirsten Dunst,Actor,1.8013,Acting
P-103,Mark Ruffalo,Actor,2.7532,Acting
P-109,Elijah Wood,Actor,2.7407,Acting
P-207,Tom Wilkinson,Actor,0.7794,Acting
P-209,Jane Adams,Actor,1.8141,Acting
P-212,David Cross,Actor,1.1355,Acting
P-77013,Deirdre O'Connell,Actor,0.5878,Acting
P-130840,Thomas Jay Ryan,Actor,0.1765,Acting
P-208,Ryan Whitney,Actor,0.0486,Acting
P-220,Lola Daehler,Actor,0.1536,Acting
P-211,Debbon Ayer,Actor,0.208,Acting
P-213,Gerry Robert Byrne,Actor,0.1645,Acting
P-214,Brian Price,Actor,0.055,Acting
P-216,Josh Flitter,Actor,0.4504,Acting
P-1640,Stellan Skarsgård,Actor,2.1636,Acting
P-2440,Bill Nighy,Actor,2.3103,Acting
P-2441,Tom Hollander,Actor,1.3579,Acting
P-2038,Naomie Harris,Actor,1.3891,Acting
P-2451,Alex Norton,Actor,0.5367,Acting
P-4030,Martin Klebba,Actor,0.5002,Acting
P-939,David Schofield,Actor,0.4163,Acting
P-1195758,Winston Ellis,Actor,1.9701,Acting
P-110,Viggo Mortensen,Actor,1.8948,Acting
P-49,Maria Bello,Actor,2.9018,Acting
P-228,Ed Harris,Actor,2.1331,Acting
P-227,William Hurt,Actor,1.1132,Acting
P-225,Ashton Holmes,Actor,0.4889,Acting
P-229,Peter MacNeill,Actor,0.3324,Acting
P-230,Stephen McHattie,Actor,1.0891,Acting
P-231,Greg Bryk,Actor,0.814,Acting
P-232,Kyle Schmid,Actor,0.4411,Acting
P-233,Sumela Kay,Actor,0.3813,Acting
P-234,Gerry Quigley,Actor,0.2569,Acting
P-235,Deborah Drakeford,Actor,0.136,Acting
P-226,Heidi Hayes,Actor,0.3034,Acting
P-237,Aidan Devine,Actor,0.3435,Acting
P-236,Bill MacDonald,Actor,0.2681,Acting
P-4364135,Michelle McCree,Actor,0.0071,Acting
P-62,Bruce Willis,Actor,3.0295,Acting
P-289,Madeleine Stowe,Actor,1.5803,Acting
P-287,Brad Pitt,Actor,8.2382,Acting
P-290,Christopher Plummer,Actor,2.4716,Acting
P-52,David Morse,Actor,1.8883,Acting
P-288,Jon Seda,Actor,0.845,Acting
P-22227,Christopher Meloni,Actor,0.971,Acting
P-1318900,Joey Perillo,Actor,0.2328,Acting
P-64908,LisaGay Hamilton,Actor,0.6033,Acting
P-11154,Matt Ross,Actor,0.4134,Acting
P-66094,Annie Golden,Actor,0.218,Acting
P-1077231,Michael Chance,Actor,0.0382,Acting
P-1571785,H. Michael Walls,Actor,0.0261,Acting
P-1328063,Bob Adrian,Actor,0.2535,Acting
P-7576,Bill Raymond,Actor,0.168,Acting
P-59112,Ernest Abuba,Actor,0.0618,Acting
P-325,Eminem,Actor,1.171,Acting
P-326,Kim Basinger,Actor,1.4966,Acting
P-327,Mekhi Phifer,Actor,0.7955,Acting
P-328,Brittany Murphy,Actor,2.379,Acting
P-333,Evan Jones,Actor,0.6451,Acting
P-334,Omar Benson Miller,Actor,1.1487,Acting
P-341,De'Angelo Wilson,Actor,0.1515,Acting
P-342,Eugene Byrd,Actor,0.9631,Acting
P-343,Taryn Manning,Actor,1.363,Acting
P-344,Larry Hudson,Actor,0.0416,Acting
P-337,Proof,Actor,0.1484,Acting
P-217173,Mike Bell,Actor,0.0398,Acting
P-345,DJ Head,Actor,0.0617,Acting
P-335,Michael Shannon,Actor,1.6529,Acting
P-123457,Chloe Greenfield,Actor,0.164,Acting
P-4209687,Mary Hannigan,Actor,0.0398,Acting
P-53650,Anthony Mackie,Actor,2.3686,Acting
P-4693,Paul Bates,Actor,1.8185,Acting
P-350,Laura Linney,Actor,1.6418,Acting
P-351,Judy Davis,Actor,1.3485,Acting
P-5249,E.G. Marshall,Actor,0.6736,Acting
P-404,Melora Hardin,Actor,1.3107,Acting
P-6074,Kenneth Welsh,Actor,0.6712,Acting
P-1218219,Penny Johnson Jerald,Actor,0.5369,Acting
P-28633,Richard Jenkins,Actor,0.9324,Acting
P-1173,Mark Margolis,Actor,0.7751,Acting
P-153926,Elaine Kagan,Actor,0.4655,Acting
P-389,Alison Eastwood,Actor,0.7338,Acting
P-1235883,Yau-Gene Chan,Actor,0.1382,Acting
P-73421,Joaquin Phoenix,Actor,1.2019,Acting
P-368,Reese Witherspoon,Actor,2.0944,Acting
P-417,Ginnifer Goodwin,Actor,1.5522,Acting
P-418,Robert Patrick,Actor,2.1897,Acting
P-424,Dallas Roberts,Actor,0.6219,Acting
P-425,Dan John Miller,Actor,0.3264,Acting
P-426,Larry Bagby,Actor,0.2222,Acting
P-1231850,Shelby Lynne,Actor,0.1416,Acting
P-419,Tyler Hilton,Actor,0.2999,Acting
P-422,Waylon Payne,Actor,0.0576,Acting
P-421,Shooter Jennings,Actor,0.3208,Acting
P-427,Sandra Ellis Lafferty,Actor,0.4043,Acting
P-428,Dan Beene,Actor,0.1524,Acting
P-589756,Clay Steakley,Actor,0.0621,Acting
P-420,Johnathan Rice,Actor,0.068,Acting
P-3813501,Johnny Holiday,Actor,0.0379,Acting
P-429,Lucas Till,Actor,7.538,Acting
P-448,Hilary Swank,Actor,1.0514,Acting
P-449,Jay Baruchel,Actor,1.4034,Acting
P-450,Mike Colter,Actor,0.8534,Acting
P-451,Lucia Rijker,Actor,0.1884,Acting
P-31713,Brían F. O'Byrne,Actor,0.5221,Acting
P-452,Margo Martindale,Actor,1.2474,Acting
P-453,Riki Lindhome,Actor,1.2296,Acting
P-454,Michael Peña,Actor,1.7051,Acting
P-2137,Benito Martinez,Actor,0.7257,Acting
P-155576,Bruce MacVittie,Actor,0.1979,Acting
P-170123,David Powledge,Actor,0.6965,Acting
P-120257,Joe D'Angerio,Actor,0.1306,Acting
P-154950,Marcus Chait,Actor,0.0843,Acting
P-478,Jamie Bell,Actor,1.2421,Acting
P-480,Gary Lewis,Actor,0.8811,Acting
P-477,Julie Walters,Actor,1.7914,Acting
P-481,Jean Heywood,Actor,0.1292,Acting
P-479,Jamie Draven,Actor,1.4164,Acting
P-482,Stuart Wells,Actor,0.2294,Acting
P-1241113,Mike Elliot,Actor,0.0517,Acting
P-3182293,Billy Fane,Actor,0.0817,Acting
P-483,Nicola Blackwell,Actor,0.1701,Acting
P-3182294,Carol McGuigan,Actor,0.0071,Acting
P-107381,Joe Renton,Actor,0.0983,Acting
P-116991,Colin MacLachlan,Actor,0.069,Acting
P-487,Janine Birkett,Actor,0.051,Acting
P-938824,Trevor Fox,Actor,0.3316,Acting
P-1041491,Charlie Hardwick,Actor,0.2292,Acting
P-3182296,Denny Ferguson,Actor,0.0214,Acting
P-819,Edward Norton,Actor,3.4728,Acting
P-820,Edward Furlong,Actor,1.076,Acting
P-821,Beverly D'Angelo,Actor,1.5114,Acting
P-823,Jennifer Lien,Actor,0.2179,Acting
P-824,Ethan Suplee,Actor,0.6331,Acting
P-826,Fairuza Balk,Actor,0.9098,Acting
P-822,Avery Brooks,Actor,0.4902,Acting
P-827,Elliott Gould,Actor,1.3428,Acting
P-825,Stacy Keach,Actor,1.3237,Acting
P-829,William Russ,Actor,0.4861,Acting
P-828,Guy Torry,Actor,0.2675,Acting
P-830,Joe Cortese,Actor,0.2837,Acting
P-831,Jason Bose Smith,Actor,0.2269,Acting
P-832,Antonio David Lyons,Actor,0.1283,Acting
P-833,Alex Sol,Actor,0.2934,Acting
P-4134,Keram Malicki-Sánchez,Actor,0.1901,Acting
P-500,Tom Cruise,Actor,7.2019,Acting
P-501,Dakota Fanning,Actor,3.285,Acting
P-503,Justin Chatwin,Actor,1.4147,Acting
P-502,Miranda Otto,Actor,0.835,Acting
P-504,Tim Robbins,Actor,1.288,Acting
P-53184,Rick Gonzalez,Actor,0.7361,Acting
P-75604,Yul Vazquez,Actor,0.4777,Acting
P-37157,Lenny Venito,Actor,0.2852,Acting
P-4494,Lisa Ann Walter,Actor,0.9844,Acting
P-103079,Ann Robinson,Actor,0.3376,Acting
P-56442,Gene Barry,Actor,0.3879,Acting
P-59690,David Alan Basche,Actor,0.1958,Acting
P-1599519,Roz Abrams,Actor,0.0357,Acting
P-505,Camillia Monet,Actor,0.1864,Acting
P-2467491,Michael Brownlee,Actor,0.0143,Acting
P-167109,Marlon Young,Actor,0.3477,Acting
P-35029,David Harbour,Actor,1.4288,Acting
P-39388,Amy Ryan,Actor,1.7112,Acting
P-17181,Ty Simpkins,Actor,1.2643,Acting
P-514,Jack Nicholson,Actor,1.8495,Acting
P-515,Glenn Close,Actor,1.4026,Acting
P-517,Pierce Brosnan,Actor,4.6998,Acting
P-518,Danny DeVito,Actor,2.4005,Acting
P-519,Martin Short,Actor,1.3614,Acting
P-520,Sarah Jessica Parker,Actor,1.0975,Acting
P-521,Michael J. Fox,Actor,1.4619,Acting
P-522,Rod Steiger,Actor,0.7415,Acting
P-523,Tom Jones,Actor,0.3469,Acting
P-526,Lukas Haas,Actor,1.5697,Acting
P-524,Natalie Portman,Actor,2.8451,Acting
P-4774,Jim Brown,Actor,0.5078,Acting
P-4452,Lisa Marie,Actor,0.3507,Acting
P-528,Sylvia Sidney,Actor,0.6254,Acting
P-1818,Paul Winfield,Actor,0.4814,Acting
P-70851,Jack Black,Actor,3.4786,Acting
P-18979,Christina Applegate,Actor,1.0526,Acting
P-15831,Frank Welker,Actor,2.3329,Acting
P-529,Guy Pearce,Actor,2.1494,Acting
P-530,Carrie-Anne Moss,Actor,1.999,Acting
P-532,Joe Pantoliano,Actor,1.4455,Acting
P-534,Mark Boone Junior,Actor,0.7414,Acting
P-535,Russ Fega,Actor,0.1528,Acting
P-536,Jorja Fox,Actor,0.7148,Acting
P-537,Stephen Tobolowsky,Actor,1.0961,Acting
P-538,Harriet Sansom Harris,Actor,0.5588,Acting
P-539,Thomas Lennon,Actor,0.5888,Acting
P-540,Callum Keith Rennie,Actor,0.5004,Acting
P-542,Kimberly Campbell,Actor,0.4822,Acting
P-543,Marianne Muellerleile,Actor,0.3098,Acting
P-544,Larry Holden,Actor,0.2715,Acting
P-585,Rutger Hauer,Actor,1.0349,Acting
P-586,Sean Young,Actor,1.3677,Acting
P-587,Edward James Olmos,Actor,1.4187,Acting
P-588,M. Emmet Walsh,Actor,1.8782,Acting
P-590,William Sanderson,Actor,0.4138,Acting
P-591,Brion James,Actor,0.7049,Acting
P-592,Joe Turkel,Actor,0.4018,Acting
P-593,Joanna Cassidy,Actor,1.4367,Acting
P-20904,James Hong,Actor,1.2048,Acting
P-58495,Morgan Paull,Actor,0.2336,Acting
P-53760,Kevin Thompson,Actor,0.1746,Acting
P-107074,Hy Pyke,Actor,0.1108,Acting
P-951333,Kimiko Hiroshige,Actor,0.4376,Acting
P-569,Ethan Hawke,Actor,2.6434,Acting
P-1146,Julie Delpy,Actor,2.8524,Acting
P-649,Vernon Dobtcheff,Actor,0.6055,Acting
P-651,Louise Lemoine Torrès,Actor,0.1425,Acting
P-654,Rodolphe Pauly,Actor,0.4889,Acting
P-657,Mariane Plasteig,Actor,0.4494,Acting
P-3728,Diabolo,Actor,0.0673,Acting
P-3729,Denis Evrard,Actor,0.0336,Acting
P-3730,Albert Delpy,Actor,0.1794,Acting
P-3731,Marie Pillet,Actor,0.1916,Acting
P-72466,Colin Farrell,Actor,3.6673,Acting
P-643,Gong Li,Actor,1.8246,Acting
P-40543,John Ortiz,Actor,1.0115,Acting
P-8785,Ciarán Hinds,Actor,1.8728,Acting
P-15009,Justin Theroux,Actor,0.9643,Acting
P-8689,Barry Shabaka Henley,Actor,0.4264,Acting
P-65421,Elizabeth Rodriguez,Actor,0.6324,Acting
P-16861,John Hawkes,Actor,0.6975,Acting
P-1665,Eddie Marsan,Actor,1.588,Acting
P-16867,Luis Tosar,Actor,0.538,Acting
P-17941,Domenick Lombardozzi,Actor,0.8393,Acting
P-4812,Isaach de Bankolé,Actor,0.8103,Acting
P-27736,Tom Towles,Actor,0.2527,Acting
P-26651,Mario Ernesto Sánchez,Actor,0.1641,Acting
P-650,Karen Allen,Actor,1.8701,Acting
P-652,Paul Freeman,Actor,2.5445,Acting
P-655,John Rhys-Davies,Actor,1.1993,Acting
P-653,Ronald Lacey,Actor,0.528,Acting
P-659,Wolf Kahler,Actor,1.3122,Acting
P-660,Anthony Higgins,Actor,0.4817,Acting
P-656,Denholm Elliott,Actor,0.814,Acting
P-658,Alfred Molina,Actor,1.8366,Acting
P-661,Vic Tablian,Actor,0.3472,Acting
P-662,Don Fellows,Actor,0.1786,Acting
P-663,William Hootkins,Actor,0.2812,Acting
P-2247,George Harris,Actor,0.2353,Acting
P-1402695,Fred Sorenson,Actor,0.0389,Acting
P-1211876,Anthony Chinn,Actor,0.1035,Acting
P-55909,Eddie Tagoe,Actor,0.1199,Acting
P-689,Kate Capshaw,Actor,0.8466,Acting
P-690,Ke Huy Quan,Actor,1.0224,Acting
P-691,Amrish Puri,Actor,0.5782,Acting
P-693,Roshan Seth,Actor,0.3947,Acting
P-694,Philip Stone,Actor,0.5002,Acting
P-695,Roy Chiao,Actor,0.4682,Acting
P-696,David Yip,Actor,0.355,Acting
P-11397,Ric Young,Actor,0.4561,Acting
P-699,Chua Kah Joo,Actor,0.1121,Acting
P-701,Rex Ngui,Actor,0.0596,Acting
P-702,Philip Tan,Actor,0.5291,Acting
P-707,Dan Aykroyd,Actor,1.0713,Acting
P-1402218,Akio Mitamura,Actor,0.0423,Acting
P-80123,Michael Yama,Actor,0.2075,Acting
P-1055317,D.R. Nanayakkara,Actor,0.2963,Acting
P-722,Jennifer Grey,Actor,0.6933,Acting
P-723,Patrick Swayze,Actor,1.0837,Acting
P-724,Cynthia Rhodes,Actor,0.9283,Acting
P-4199,Neal Jones,Actor,0.2773,Acting
P-725,Jerry Orbach,Actor,0.5984,Acting
P-728,Kelly Bishop,Actor,0.5569,Acting
P-727,Jane Brucker,Actor,0.4734,Acting
P-730,Max Cantor,Actor,0.4416,Acting
P-726,Jack Weston,Actor,0.4933,Acting
P-4201,Wayne Knight,Actor,1.045,Acting
P-4198,"Charles ""Honi"" Coles",Actor,1.7702,Acting
P-4200,"""Cousin Brucie"" Morrow",Actor,0.0409,Acting
P-734,Paula Trueman,Actor,0.252,Acting
P-733,Alvin Myerovich,Actor,0.1234,Acting
P-4202,Miranda Garrison,Actor,1.023,Acting
P-738,Sean Connery,Actor,1.7203,Acting
P-739,Alison Doody,Actor,0.54,Acting
P-740,Julian Glover,Actor,0.6984,Acting
P-741,River Phoenix,Actor,1.6548,Acting
P-742,Michael Byrne,Actor,0.6995,Acting
P-743,Kevork Malikyan,Actor,0.3523,Acting
P-744,Robert Eddison,Actor,0.2302,Acting
P-745,Richard Young,Actor,0.2374,Acting
P-746,Alexei Sayle,Actor,0.3762,Acting
P-747,Alex Hyde-White,Actor,0.3517,Acting
P-748,Paul Maxwell,Actor,0.1144,Acting
P-749,Isla Blair,Actor,0.2387,Acting
P-776,Eddie Murphy,Actor,2.4673,Acting
P-777,Judge Reinhold,Actor,0.7582,Acting
P-778,John Ashton,Actor,0.4611,Acting
P-779,Lisa Eilbacher,Actor,0.66,Acting
P-780,Ronny Cox,Actor,0.9071,Acting
P-782,Steven Berkoff,Actor,0.6219,Acting
P-785,James Russo,Actor,0.7734,Acting
P-783,Jonathan Banks,Actor,2.7527,Acting
P-786,Stephen Elliott,Actor,0.4107,Acting
P-787,Gilbert R. Hill,Actor,0.135,Acting
P-788,Art Kimbro,Actor,0.0945,Acting
P-789,Joel Bailey,Actor,0.0481,Acting
P-4689,Bronson Pinchot,Actor,0.5314,Acting
P-781,Paul Reiser,Actor,0.9072,Acting
P-790,Michael Champion,Actor,0.1698,Acting
P-101615,Frank Pesce,Actor,0.1656,Acting
P-879,Billy Bob Thornton,Actor,2.2295,Acting
P-880,Ben Affleck,Actor,10.8173,Acting
P-882,Liv Tyler,Actor,1.8627,Acting
P-883,Will Patton,Actor,2.524,Acting
P-884,Steve Buscemi,Actor,3.3122,Acting
P-886,William Fichtner,Actor,2.244,Acting
P-887,Owen Wilson,Actor,2.3261,Acting
P-61981,Michael Clarke Duncan,Actor,1.4064,Acting
P-53,Peter Stormare,Actor,13.2678,Acting
P-236327,Ken Hudson Campbell,Actor,0.3637,Acting
P-42707,Jessica Steen,Actor,0.9437,Acting
P-65827,Keith David,Actor,1.8446,Acting
P-8191,Chris Ellis,Actor,0.3225,Acting
P-11355,Jason Isaacs,Actor,1.9753,Acting
P-42373,Grayson McCouch,Actor,0.1408,Acting
P-2138,Shawnee Smith,Actor,1.3287,Acting
P-10017,Charlton Heston,Actor,1.531,Acting
P-920,Jürgen Prochnow,Actor,0.8281,Acting
P-921,Brigitte Nielsen,Actor,0.7594,Acting
P-922,Allen Garfield,Actor,0.4783,Acting
P-923,Dean Stockwell,Actor,1.3068,Acting
P-925,Paul Guilfoyle,Actor,0.8532,Acting
P-25626,Robert Ridgely,Actor,0.4394,Acting
P-101279,Brian O'Connor,Actor,0.0759,Acting
P-1590786,Alice Adair,Actor,0.2799,Acting
P-87479,Eugene Butler,Actor,0.087,Acting
P-2881,Glenn Withrow,Actor,1.2222,Acting
P-2632,Chris Rock,Actor,1.1198,Acting
P-1229,Jeff Bridges,Actor,2.2474,Acting
P-2547,Bruce Boxleitner,Actor,0.9639,Acting
P-2076,David Warner,Actor,0.8149,Acting
P-2548,Cindy Morgan,Actor,0.3219,Acting
P-2549,Barnard Hughes,Actor,0.3099,Acting
P-2550,Dan Shor,Actor,0.2937,Acting
P-12876,Peter Jurasik,Actor,0.2659,Acting
P-12877,Tony Stephano,Actor,0.1437,Acting
P-12878,Craig Chudy,Actor,0.0728,Acting
P-12880,Sam Schatz,Actor,0.0338,Acting
P-21259,Michael Dudikoff,Actor,0.4164,Acting
P-102235,Jackson Bostwick,Actor,0.0363,Acting
P-15850,Tony Brubaker,Actor,0.524,Acting
P-934,Russell Crowe,Actor,2.138,Acting
P-935,Connie Nielsen,Actor,5.4986,Acting
P-936,Oliver Reed,Actor,0.7063,Acting
P-937,Derek Jacobi,Actor,0.9136,Acting
P-938,Djimon Hounsou,Actor,1.1226,Acting
P-940,John Shrapnel,Actor,0.5056,Acting
P-941,Tomas Arana,Actor,0.7806,Acting
P-942,Ralf Moeller,Actor,0.7454,Acting
P-4012,Spencer Treat Clark,Actor,0.8845,Acting
P-15196,David Hemmings,Actor,0.5223,Acting
P-2478,Tommy Flanagan,Actor,1.8222,Acting
P-20761,Sven-Ole Thorsen,Actor,0.4103,Acting
P-41379,Omid Djalili,Actor,0.6329,Acting
P-9236,Giorgio Cantarini,Actor,1.0815,Acting
P-980,Vinnie Jones,Actor,0.965,Acting
P-973,Jason Flemyng,Actor,1.2262,Acting
P-974,Dexter Fletcher,Actor,0.7406,Acting
P-975,Nick Moran,Actor,0.6244,Acting
P-976,Jason Statham,Actor,9.6303,Acting
P-978,Steven Mackintosh,Actor,0.8226,Acting
P-984,Nicholas Rowe,Actor,0.4442,Acting
P-985,Nick Marcq,Actor,0.1262,Acting
P-986,Charles Forbes,Actor,0.2372,Acting
P-987,Lenny McLean,Actor,0.2195,Acting
P-988,Peter McNicholl,Actor,0.0431,Acting
P-989,P.H. Moriarty,Actor,0.2037,Acting
P-990,Frank Harper,Actor,0.1657,Acting
P-2638789,Steve Sweeney,Actor,0.1679,Acting
